ID,DepthDiving.m,DurationDiving.min,Depthzero,Mean.Max,CommonName,Binomial,Weight.kg,Lat,Lon,Family,Order,Location,Country,Type.Diving,Methods,Life stage,Chlorophyll.Concentration,Chorophyll.Concentration.SD,Surface.Temperature,Surface.Temperature.SD,Turbidity.Index,Turbidity.Index.SD,Comment,Conservation.Status,Foraging Reference,Birds of the World Reference,Weight Reference,
94,2.65,NA,1,Mean,Double-crested Cormorant,Phalacrocorax auritus,2.1,46.47,-125,Phalacrocoracidae,Suliformes,East Sand Island,USA,Pursuit.Dive,Data Logger,Breeding,0.65,0.32542,12.955,3.577779,0.074582,0.020489695,,LC,"Peck-Richardson, A. G., Lyons, D. E., Roby, D. D., Cushing, D. A. and Lerczak, J., A. (2018) Three-dimensional foraging habitat use and niche partitioning in two sympatric seabird species, Phalacrocorax auritus and P. penicillatus. Marine Ecology Progress Series. 586: 251-264.","Orta, J., Jutglar, F., Garcia, E.F.J., Kirwan, G.M. & Boesman, P. (2020). Double-crested Cormorant (Nannopterum auritus). In: del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from https://www.hbw.com/node/52626 on 10 May 2020).",,
95,73.2,3.26,1,Max,Flightless Cormorant,Nannopterum harrisi,4,0.17,-91.19,Phalacrocoracidae,Suliformes,"Isabela, Galapagos Islands",Ecuador,Pursuit.Dive,Time-Depth Recorder,Breeding,0.4,0.1831,24.4625,2.386748,0.06305,0.012302586,,VU,"Wilson, R. P., Vargas, F. H., Steinfurth, A., Riordan, P., Ropert-Coudert, Y., and Macdonald, D. W. (2008). What Grounds Some Birds for Life? Movement and Diving in the Sexually Dimorphic Galápagos Cormorant. Ecological Monographs, 78(4), 633–652. Retrieved from www.jstor.org/stable/27646158","Orta, J., Garcia, E.F.J., Christie, D.A., Jutglar, F. & Kirwan, G.M. (2020). Flightless Cormorant (Nannopterum harrisi). In: del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from https://www.hbw.com/node/52664 on 10 May 2020).",,
96,NA,0.71,0,Max,Neotropical Cormorant,"Nannopterum brasilianus
",1.81,-45.18,-66.5,Phalacrocoracidae,Suliformes,Chubut,Argentina,Pursuit.Dive,Radio Signals,Breeding,2.87,2.29726,12.14273,2.976871,0.158578,0.02588425,,LC,"Quintana, F., Yorio, P., LISNIZER, N., Gatto, A. and Soria, G. (2004) Diving and Foraging Areas of the Neotropic Cormorant at a marine colony in Patagonia, Argentina. The Wilson Bulletin 116(1): 83-88.","Orta, J., Christie, D.A., Jutglar, F. & Kirwan, G.M. (2020). Neotropical Cormorant (Nannopterum brasilianus). In: del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from https://www.hbw.com/node/52627 on 10 May 2020).",,
97,42.2,2,1,Max,Pelagic Cormorant,Urile pelagicus,2.44,59.67,-146.5,Phalacrocoracidae,Suliformes,Middleton Island,USA,Pursuit.Dive,Data Logger,Breeding,1.56,0.8744,9.665833,3.567508,0.130244,0.047657188,,LC,"Kotzerka, J., Hatch, S. H. and Garthe, S. (2011) Evidence for Foraging-Site Fidelity and Individual Foraging Behavior of Pelagic Cormorants Rearing Chicks in the Gulf of Alaska. The Condor. 113(1): 80–88. https://doi.org/10.1525/cond.2011.090158","Orta, J., Garcia, E.F.J., Jutglar, F. & Kirwan, G.M. (2020). Pelagic Cormorant (Urile pelagicus). In: del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from https://www.hbw.com/node/52637 on 10 May 2020).",,
98,17.3,0.87,1,Mean,Pelagic Cormorant,Urile pelagicus,2.44,59.67,-146.5,Phalacrocoracidae,Suliformes,Middleton Island,USA,Pursuit.Dive,Data Logger,Breeding,1.56,0.8744,9.665833,3.567508,0.130244,0.047657188,,LC,"Kotzerka, J., Hatch, S. H. and Garthe, S. (2011) Evidence for Foraging-Site Fidelity and Individual Foraging Behavior of Pelagic Cormorants Rearing Chicks in the Gulf of Alaska. The Condor. 113(1): 80–88. https://doi.org/10.1525/cond.2011.090158","Orta, J., Garcia, E.F.J., Jutglar, F. & Kirwan, G.M. (2020). Pelagic Cormorant (Urile pelagicus). In: del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from https://www.hbw.com/node/52637 on 10 May 2020).",,
99,34.6,NA,1,Max,European Shag,Phalacrocorax aristotelis,2.15,56.18,-2.55,Phalacrocoracidae,Suliformes,Isle of May,UK,Pursuit.Dive,Time-Depth Recorder,Chick Rearing,11.17,12.09734,9.920834,3.299602,0.464178,0.55937016,,LC,"Wanless, S., Finney, S. K., Harris, M. P. and McCafferty, D. J. (1999) Effect of the diel light cycle on the diving behaviour of two bottom feeding marine birds: the blue-eyed shag Phalacrocorax a triceps and the European shag P. aristoteli. Marine Ecology Progress Series. 188: 219-224.","Orta, J., Garcia, E.F.J., Jutglar, F., Kirwan, G.M. & Boesman, P. (2020). European Shag (Gulosus aristotelis). In: del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from https://www.hbw.com/node/52636 on 10 May 2020).",,
100,20.5,NA,1,Mean,European Shag,Phalacrocorax aristotelis,2.15,56.18,-2.55,Phalacrocoracidae,Suliformes,Isle of May,UK,Pursuit.Dive,Time-Depth Recorder,Chick Rearing,11.17,12.09734,9.920834,3.299602,0.464178,0.55937016,,LC,"Wanless, S., Finney, S. K., Harris, M. P. and McCafferty, D. J. (1999) Effect of the diel light cycle on the diving behaviour of two bottom feeding marine birds: the blue-eyed shag Phalacrocorax a triceps and the European shag P. aristoteli. Marine Ecology Progress Series. 188: 219-224.","Orta, J., Garcia, E.F.J., Jutglar, F., Kirwan, G.M. & Boesman, P. (2020). European Shag (Gulosus aristotelis). In: del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from https://www.hbw.com/node/52636 on 10 May 2020).",,
101,37.3,1.3,1,Max,Cape Cormorant,Phalacrocorax capensis,1.31,-33.42,18.07,Phalacrocoracidae,Suliformes,Wetsern Cape Province,South Africa,Pursuit.Dive,Time-Depth Recorder,Chick Rearing,6.44,3.40252,15.9525,1.216434,0.390833,0.262592643,,EN,"Cook, T. R., Hamann, M., Pichegru, L., Bonadonna, F., Grémillet, D. and Ryan, P. G. (2012) GPS and time-depth loggers reveal underwater foraging plasticity in a flying diver, the Cape Cormorant. Marine Biology 159: 373–387. https://doi.org/10.1007/s00227-011-1815-3","Orta, J., Jutglar, F., Garcia, E.F.J., Kirwan, G.M. & Boesman, P. (2020). Cape Cormorant (Phalacrocorax capensis). In: del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from https://www.hbw.com/node/52631 on 10 May 2020).",,
102,11.5,0.47,1,Mean,Cape Cormorant,Phalacrocorax capensis,1.31,-33.42,18.07,Phalacrocoracidae,Suliformes,Wetsern Cape Province,South Africa,Pursuit.Dive,Time-Depth Recorder,Chick Rearing,6.44,3.40252,15.9525,1.216434,0.390833,0.262592643,,EN,"Cook, T. R., Hamann, M., Pichegru, L., Bonadonna, F., Grémillet, D. and Ryan, P. G. (2012) GPS and time-depth loggers reveal underwater foraging plasticity in a flying diver, the Cape Cormorant. Marine Biology 159: 373–387. https://doi.org/10.1007/s00227-011-1815-3","Orta, J., Jutglar, F., Garcia, E.F.J., Kirwan, G.M. & Boesman, P. (2020). Cape Cormorant (Phalacrocorax capensis). In: del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from https://www.hbw.com/node/52631 on 10 May 2020).",,
103,24.3,1.27,1,Max,Socotra Cormorant,Phalacrocorax nigrogularis,NA,24,60,Phalacrocoracidae,Suliformes,Siniya Island,United Arab Emirates,Pursuit.Dive,Temperature-Depth Recorder,Breeding,2.33,3.19503,27.65667,2.580963,0.217455,0.27479136,,VU,"Cook, T. R., Gubiani, R., Ryan, P. G. and Muzaffar, S. B. (2017) Group foraging in Socotra cormorants: A biologging approach to the study of a complex behavior. Ecology and Evolution. 7(7): 2025-2038.","Orta, J., D. A. Christie, F. Jutglar, E.F.J. Garcia, and G. M. Kirwan (2020). Socotra Cormorant (Phalacrocorax nigrogularis), version 1.0. In Birds of the World (J. del Hoyo, A. Elliott, J. Sargatal, D. A. Christie, and E. de Juana, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bow.soccor1.01",,
104,6.9,0.4,1,Mean,Socotra Cormorant,Phalacrocorax nigrogularis,NA,24,60,Phalacrocoracidae,Suliformes,Siniya Island,United Arab Emirates,Pursuit.Dive,Temperature-Depth Recorder,Breeding,2.33,3.19503,27.65667,2.580963,0.217455,0.27479136,,VU,"Cook, T. R., Gubiani, R., Ryan, P. G. and Muzaffar, S. B. (2017) Group foraging in Socotra cormorants: A biologging approach to the study of a complex behavior. Ecology and Evolution. 7(7): 2025-2038.","Orta, J., D. A. Christie, F. Jutglar, E.F.J. Garcia, and G. M. Kirwan (2020). Socotra Cormorant (Phalacrocorax nigrogularis), version 1.0. In Birds of the World (J. del Hoyo, A. Elliott, J. Sargatal, D. A. Christie, and E. de Juana, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bow.soccor1.01",,
105,47.1,1.92,1,Max,Bank Cormorant,Phalacrocorax neglectus,2.43,-25.72,14.83,Phalacrocoracidae,Suliformes,Mercury Island,Namibia,Pursuit.Dive,Temperature-Depth Recorder,Breeding,7.16,4.63868,14.775,1.886359,0.445367,0.262467086,,EN,"Ludynia, K., Jones, R., Kemper, J., Garthe, S. and Underhill, L. G. (2010) Foraging behaviour of bank cormorants in Namibia: implications for conservation. Endangered Species Research. 12:  31–40.","Orta, J., Garcia, E.F.J., Kirwan, G.M. & Boesman, P. (2020). Bank Cormorant (Phalacrocorax neglectus). In: del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from https://www.hbw.com/node/52633 on 10 May 2020).",,
106,29.9,1.19,1,Mean,Bank Cormorant,Phalacrocorax neglectus,2.43,-25.72,14.83,Phalacrocoracidae,Suliformes,Mercury Island,Namibia,Pursuit.Dive,Temperature-Depth Recorder,Breeding,7.16,4.63868,14.775,1.886359,0.445367,0.262467086,,EN,"Ludynia, K., Jones, R., Kemper, J., Garthe, S. and Underhill, L. G. (2010) Foraging behaviour of bank cormorants in Namibia: implications for conservation. Endangered Species Research. 12:  31–40.","Orta, J., Garcia, E.F.J., Kirwan, G.M. & Boesman, P. (2020). Bank Cormorant (Phalacrocorax neglectus). In: del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from https://www.hbw.com/node/52633 on 10 May 2020).",,
107,24.4,1.15,1,Max,Pitt Island Shag,Phalacrocorax featherstoni,1.33,-43.73,-176.2,Phalacrocoracidae,Suliformes,Chatham Islands,New Zealand,Pursuit.Dive,Time-Depth Recorder,Breeding,0.52,0.07231,13.745,2.141845,0.073564,0.013413372,,EN,"Bell., M. (2015) Foraging ecology and dive behaviour of Pitt Island shags (Stictocarbo featherstoni). Notornis 62(2): 76-84.","Orta, J., Christie, D.A., Jutglar, F., Kirwan, G.M. & Bonan, A. (2020). Pitt Shag (Phalacrocorax featherstoni). In: del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from https://www.hbw.com/node/52658 on 10 May 2020).",,
108,6.6,0.37,1,Mean,Pitt Island Shag,Phalacrocorax featherstoni,1.33,-43.73,-176.2,Phalacrocoracidae,Suliformes,Chatham Islands,New Zealand,Pursuit.Dive,Time-Depth Recorder,Breeding,0.52,0.07231,13.745,2.141845,0.073564,0.013413372,,EN,"Bell., M. (2015) Foraging ecology and dive behaviour of Pitt Island shags (Stictocarbo featherstoni). Notornis 62(2): 76-84.","Orta, J., Christie, D.A., Jutglar, F., Kirwan, G.M. & Bonan, A. (2020). Pitt Shag (Phalacrocorax featherstoni). In: del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from https://www.hbw.com/node/52658 on 10 May 2020).",,
109,0,0,0,Max,Lesser Frigatebird,Fregata ariel,0.95,-23.83,41.67,Fregatidae,Suliformes,Mozambique Channel,Mozambique,Surface.Skimming,NA,Breeding,0.15,0.0636,26.2475,1.828785,0.036783,0.013430619,Non-diving,LC,"Jaquemet, S., Le Corre, M., Marsac, F., Potier, M. and Weimerskirch, H. (2005) Foraging habitats of the seabird community of Europa Island (Mozambique Channel). Marine Biology 147, 573–582. https://doi.org/10.1007/s00227-005-1610-0","Orta, J., Garcia, E.F.J., Kirwan, G.M., Boesman, P. & Sharpe, C.J. (2020). Lesser Frigatebird (Fregata ariel). In: del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from https://www.hbw.com/node/52671 on 10 May 2020).",,
110,0,0,0,Mean,Lesser Frigatebird,Fregata ariel,0.95,-23.83,41.67,Fregatidae,Suliformes,Mozambique Channel,Mozambique,Surface.Skimming,NA,Breeding,0.15,0.0636,26.2475,1.828785,0.036783,0.013430619,Non-diving,LC,"Jaquemet, S., Le Corre, M., Marsac, F., Potier, M. and Weimerskirch, H. (2005) Foraging habitats of the seabird community of Europa Island (Mozambique Channel). Marine Biology 147, 573–582. https://doi.org/10.1007/s00227-005-1610-0","Orta, J., Garcia, E.F.J., Kirwan, G.M., Boesman, P. & Sharpe, C.J. (2020). Lesser Frigatebird (Fregata ariel). In: del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from https://www.hbw.com/node/52671 on 10 May 2020).",,
111,0,0,0,Max,Great Frigatebird,Fregata minor,1.64,-0.5,47.5,Fregatidae,Suliformes,Indian Ocean,Indian Ocean,Surface.Skimming,Various,Breeding,0.24,0.12017,27.7775,1.717419,0.046345,0.011858529,Non-diving,LC,"Weimerskirch, H., LeCorre, M., Kai, E. T. and Marsac, F. (2010) Foraging movements of great frigatebirds from Aldabra Island: Relationship with environmental variables and interactions with fisheries. Progress in Oceanogrpahy. 86(1-2): 204-213.","Orta, J., Kirwan, G.M., Garcia, E.F.J. & Boesman, P. (2020). Great Frigatebird (Fregata minor). In: del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from https://www.hbw.com/node/52670 on 10 May 2020).",,
112,0,0,0,Mean,Great Frigatebird,Fregata minor,1.64,-0.5,47.5,Fregatidae,Suliformes,Indian Ocean,Indian Ocean,Surface.Skimming,Various,Breeding,0.24,0.12017,27.7775,1.717419,0.046345,0.011858529,Non-diving,LC,"Weimerskirch, H., LeCorre, M., Kai, E. T. and Marsac, F. (2010) Foraging movements of great frigatebirds from Aldabra Island: Relationship with environmental variables and interactions with fisheries. Progress in Oceanogrpahy. 86(1-2): 204-213.","Orta, J., Kirwan, G.M., Garcia, E.F.J. & Boesman, P. (2020). Great Frigatebird (Fregata minor). In: del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from https://www.hbw.com/node/52670 on 10 May 2020).",,
113,0,0,0,Max,Christmas Frigatebird,Fregata andrewsi,1.55,-9,106,Fregatidae,Suliformes,Christmas Island,Australia,Surface.Skimming,GPS and satellite tags,Breeding,0.34,0.38609,27.67917,1.91879,0.051417,0.027547177,Males chose areas with higher chlorophyll while females had to look after the chicks,CR,"Hennicke J. C., James D. J. and Weimerskirch H. (2015) Sex-Specific Habitat Utilization and Differential Breeding Investments in Christmas Island Frigatebirds throughout the Breeding Cycle. PLoSONE 10(6): e0129437. doi:10.1371/journal.pone.0129437 ","Orta, J., Garcia, E.F.J., Kirwan, G.M. & Boesman, P. (2020). Christmas Frigatebird (Fregata andrewsi). In: del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from https://www.hbw.com/node/52668 on 10 May 2020).",,
114,0,0,0,Mean,Christmas Frigatebird,Fregata andrewsi,1.55,-9,106,Fregatidae,Suliformes,Christmas Island,Australia,Surface.Skimming,GPS and satellite tags,Breeding,0.34,0.38609,27.67917,1.91879,0.051417,0.027547177,Non-diving,CR,"Hennicke J. C., James D. J. and Weimerskirch H. (2015) Sex-Specific Habitat Utilization and Differential Breeding Investments in Christmas Island Frigatebirds throughout the Breeding Cycle. PLoSONE 10(6): e0129437. doi:10.1371/journal.pone.0129437 ","Orta, J., Garcia, E.F.J., Kirwan, G.M. & Boesman, P. (2020). Christmas Frigatebird (Fregata andrewsi). In: del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from https://www.hbw.com/node/52668 on 10 May 2020).",,
115,0,0,0,Max,Magnificent Frigatebird,Fregata magnificens,1.59,18.27,-63.25,Fregatidae,Suliformes,Antilles,UK,Surface.Skimming,Remote Download Logger,Chick Rearing,0.16,0.03097,27.48583,1.236259,0.044733,0.007746592,Non-diving,LC,"Soanes, L. M., Bright, J. A., Carter, D., Dias, M. P., Fleming, T., Gumbs, K., Hughes, G., Mukhidad, F. and Green, J. A. (2016) Important foraging areas of seabirds from Anguilla, Caribbean: Implications for marine spatial planning. Marine Policy. 70: 85-92.","Orta, J., Christie, D.A., Garcia, E.F.J. & Boesman, P. (2020). Magnificent Frigatebird (Fregata magnificens). In: del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from https://www.hbw.com/node/52669 on 10 May 2020).",,
116,0,0,0,Mean,Magnificent Frigatebird,Fregata magnificens,1.59,18.27,-63.25,Fregatidae,Suliformes,Antilles,UK,Surface.Skimming,Remote Download Logger,Chick Rearing,0.16,0.03097,27.48583,1.236259,0.044733,0.007746592,Non-diving,LC,"Soanes, L. M., Bright, J. A., Carter, D., Dias, M. P., Fleming, T., Gumbs, K., Hughes, G., Mukhidad, F. and Green, J. A. (2016) Important foraging areas of seabirds from Anguilla, Caribbean: Implications for marine spatial planning. Marine Policy. 70: 85-92.","Orta, J., Christie, D.A., Garcia, E.F.J. & Boesman, P. (2020). Magnificent Frigatebird (Fregata magnificens). In: del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from https://www.hbw.com/node/52669 on 10 May 2020).",,
117,0,0,0,Max,Ascension frigatebird,Fregata aquila,1.25,-6,-12,Fregatidae,Suliformes,Ascension Island,UK,Surface.Skimming,GPS tag,Breeding,0.15,0.06003,26.17417,1.475635,0.03415,0.008623488,Non-diving; mesopelagic class border of 6 and 8,VU,"Oppel, S., Weber, S., Weber, N., Fox, D., Leat, E., Sim, J., Sommerfeld, J.,  Bolton, M., Broderick, A. C. and Godley, B. J. (2017) Seasonal shifts in foraging distribution due to individual flexibility in a tropical pelagic forager, the Ascension frigatebird. Marine Ecology Progress Series. 585: 199–212. DOI: https://doi.org/10.3354/meps12377","Orta, J., Christie, D.A., Garcia, E.F.J., Jutglar, F. & Boesman, P. (2020). Ascension Frigatebird (Fregata aquila). In: del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from https://www.hbw.com/node/52667 on 10 May 2020).",,
118,0,0,0,Mean,Ascension frigatebird,Fregata aquila,1.25,-6,-12,Fregatidae,Suliformes,Ascension Island,UK,Surface.Skimming,GPS tag,Breeding,0.15,0.06003,26.17417,1.475635,0.03415,0.008623488,Non-diving; mesopelagic class border of 6 and 9,VU,"Oppel, S., Weber, S., Weber, N., Fox, D., Leat, E., Sim, J., Sommerfeld, J.,  Bolton, M., Broderick, A. C. and Godley, B. J. (2017) Seasonal shifts in foraging distribution due to individual flexibility in a tropical pelagic forager, the Ascension frigatebird. Marine Ecology Progress Series. 585: 199–212. DOI: https://doi.org/10.3354/meps12377","Orta, J., Christie, D.A., Garcia, E.F.J., Jutglar, F. & Boesman, P. (2020). Ascension Frigatebird (Fregata aquila). In: del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from https://www.hbw.com/node/52667 on 10 May 2020).",,
119,35,NA,1,Max,Audubon’s shearwater,Puffinus lherminieri,0.29,-4.33,55.67,Procellariidae,Procellariiformes,Cousin Island,Seychelles,Pursuit.Dive,Capillary Depth Gauge,Various,0.34,0.30018,28.91833,1.784172,0.064486,0.0447574,,LC,"Burger, A. E. (2001) Diving Depths of Shearwaters, The Auk. 118(3): 755–759. https://doi.org/10.1093/auk/118.3.755","Carboneras, C., Jutglar, F. & Kirwan, G.M. (2020). Audubon's Shearwater (Puffinus lherminieri). In: del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from https://www.hbw.com/node/52580 on 10 May 2020).",BirdLife International. 2018. Puffinus lherminieri. The IUCN Red List of Threatened Species 2018: e.T45959182A132669169. https://dx.doi.org/10.2305/IUCN.UK.2018-2.RLTS.T45959182A132669169.en. Downloaded on 17 June 2020,
120,15,NA,1,Mean,Audubon’s shearwater,Puffinus lherminieri,0.29,-4.33,55.67,Procellariidae,Procellariiformes,Cousin Island,Seychelles,Pursuit.Dive,Capillary Depth Gauge,Various,0.34,0.30018,28.91833,1.784172,0.064486,0.0447574,,LC,"Burger, A. E. (2001) Diving Depths of Shearwaters, The Auk. 118(3): 755–759. https://doi.org/10.1093/auk/118.3.755","Carboneras, C., Jutglar, F. & Kirwan, G.M. (2020). Audubon's Shearwater (Puffinus lherminieri). In: del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from https://www.hbw.com/node/52580 on 10 May 2020).",BirdLife International. 2018. Puffinus lherminieri. The IUCN Red List of Threatened Species 2018: e.T45959182A132669169. https://dx.doi.org/10.2305/IUCN.UK.2018-2.RLTS.T45959182A132669169.en. Downloaded on 17 June 2021,
121,36.6,NA,1,Max,Hutton's Shearwater,Puffinus huttoni,0.38,-42.5,173.6,Procellariidae,Procellariiformes,Kaikoura,New Zealand,Pursuit.Dive,Maximum depth Gauge,Pre-laying,1.66,0.96713,13.97417,2.646687,0.18095,0.118033856,,EN,"Taylor, G. A. (2008). Maximum Dive Depths of Eight New Zealand Procellariiform Including Pterodroma Species. Paper and Proceedings of the Royal Society of Tasmania, 142(1), 1–9.","Carboneras, C., Jutglar, F. & Kirwan, G.M. (2020). Hutton's Shearwater (Puffinus huttoni). In: del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from https://www.hbw.com/node/52575 on 10 May 2020).",,
122,23,NA,1,Mean,Hutton's Shearwater,Puffinus huttoni,0.38,-42.5,173.6,Procellariidae,Procellariiformes,Kaikoura,New Zealand,Pursuit.Dive,Maximum depth Gauge,Pre-laying,1.66,0.96713,13.97417,2.646687,0.18095,0.118033856,,EN,"Taylor, G. A. (2008). Maximum Dive Depths of Eight New Zealand Procellariiform Including Pterodroma Species. Paper and Proceedings of the Royal Society of Tasmania, 142(1), 1–9.","Carboneras, C., Jutglar, F. & Kirwan, G.M. (2020). Hutton's Shearwater (Puffinus huttoni). In: del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from https://www.hbw.com/node/52575 on 10 May 2020).",,
123,29.9,NA,1,Max,Fluttering Shearwater,Puffinus gavia,0.43,-37.68,178.57,Procellariidae,Procellariiformes,East Island,New Zealand,Pursuit.Dive,Maximum depth Gauge,Chick Rearing,0.88,0.40934,16.79167,2.611738,0.095545,0.025074143,,LC,"Taylor, G. A. (2008). Maximum Dive Depths of Eight New Zealand Procellariiform Including Pterodroma Species. Paper and Proceedings of the Royal Society of Tasmania, 142(1), 1–9.","Carboneras, C., Jutglar, F. & Kirwan, G.M. (2020). Fluttering Shearwater (Puffinus gavia). In: del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from https://www.hbw.com/node/52578 on 10 May 2020).",,
124,1.9,NA,1,Max,Black-winged Petrel,Pterodroma nigripennis,0.23,-37.68,178.57,Procellariidae,Procellariiformes,East Island,New Zealand,Pursuit.Dive,Maximum depth Gauge,Pre-laying,0.88,0.40934,16.79167,2.611738,0.095545,0.025074143,,LC,"Taylor, G. A. (2008). Maximum Dive Depths of Eight New Zealand Procellariiform Including Pterodroma Species. Paper and Proceedings of the Royal Society of Tasmania, 142(1), 1–9.","Carboneras, C., Jutglar, F. & Kirwan, G.M. (2020). Black-winged Petrel (Pterodroma nigripennis). In: del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from https://www.hbw.com/node/52545 on 10 May 2020).",,
125,1.6,NA,1,Mean,Black-winged Petrel,Pterodroma nigripennis,0.23,-37.68,178.57,Procellariidae,Procellariiformes,East Island,New Zealand,Pursuit.Dive,Maximum depth Gauge,Pre-laying,0.88,0.40934,16.79167,2.611738,0.095545,0.025074143,,LC,"Taylor, G. A. (2008). Maximum Dive Depths of Eight New Zealand Procellariiform Including Pterodroma Species. Paper and Proceedings of the Royal Society of Tasmania, 142(1), 1–9.","Carboneras, C., Jutglar, F. & Kirwan, G.M. (2020). Black-winged Petrel (Pterodroma nigripennis). In: del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from https://www.hbw.com/node/52545 on 10 May 2020).",,
